Denominación,ER Referencia eroski,ER Area,ER sec,ER cat,ER subcat,ER segmento,ER Producto,ER Marca,ER Referencia eroski,ER Formato,ER Gramaje,ER Gramaje en miles,ER Unidades,ER Unidad medida,ER Origen,ER Variedad,ER Calibre,PVP tarifa eroski,PVP oferta eroski tienda,ER Precio/kg o precio/unidad,ER Precio/kg o precio/unidad oferta,ER Código ean,Venta media Eroski,ER Tipo de promoción,PVP oferta eroski HORECA,PVP oferta eroski HORECA PRECIO/KG,ER Oferta HORECA,Distance,Ref competidor,Den competidor,Marca competidor,Cod ean del competidor,Formato,Gramaje,Unidad de medida,Gramaje unitario en miles,Unidades,Gramaje total,Origen,Variedad,Calibre,PVP tarifa competidor,PVP oferta 1 competidor,PVP oferta 2 competidor,Precio/kg o precio/unidad,Precio/kg o precio/unidad oferta 1,Precio/kg o precio/unidad oferta 2,Tipo de promo 1 en %,Tipo de promo,dif bruto del mejor precio (nuestro vs competencia) incl HORECA,dif bruto del mejor precio (nuestro vs competencia) sin dto HORECA,dIf porcentual mejor precio sin Horeka,dif porcentual del mejor precio (nuestro vs competencia) incl HORECA,dif porcentual de tarifa (nuestra tarifa vs tarifa competencia),dif porcentual del mes anterior (dato del mes anterior),dif media del registro historico de meses anteriores
"Aceite de girasol KOIPESOL, garrafa 3 litros",18911701,2-ALIMENTACION,9-COCINA,1-ACEITE,5-ACEITES GIRASOL,3-ACEITE GIRASOL FORMATO GRANDE,"Aceite de girasol KOIPESOL, garrafa 3 litros",KOIPESOL,18911701,GARRAFA,3,3000,1,L,,,,"7,69",,"2,56",,,"1,11",,"7,31","2,44",5%," 'distance': 2,6691734790802",178529,'Koipesol profesional aceite de girasol,KOIPESOL,,BIDON,"5,00",L,5000,1,5000,,,,"10,44",,,"2,09",,,,,"0,35","0,48",19%,14%,19%,19%,18%
"Whisky JOHNNIE WALKER ETIQUETA NEGRA, botella 70 cl",315614,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,13-WHISKY,5-WHISKY¿PREMIUM,"Whisky JOHNNIE WALKER ETIQUETA NEGRA, botella 70 cl",JOHNNIE WALKER,315614,BOTELLA,"0,7",700,1,L,Reino Unido,,,"30,75","26,14","43,93","37,34",,"0,5",15%,"22,22","31,74",15%," 'distance': 1,4692366123199463",8723,"JOHNNIE WALKER Etiqueta Negra whisky escocés botella 70cl Alc, 40% vol,'",JOHNNIE WALKER,,BOTELLA,"0,70",L,700,1,700,,,,"24,74",,,"35,34",,,,,"-3,60","2,00",5%,-11%,20%,19%,18%
"Chocolate con leche para postres NESTLÉ, tableta 170 g",16748675,2-ALIMENTACION,10-DULCE,14-CHOCOLATES,11-CHOCOLATE¿TAZA¿Y¿POSTRES,1-CHOCOLATE POSTRE,"Chocolate con leche para postres NESTLÉ, tableta 170 g",NESTLÉ,16748675,TABLETA,"0,17",170,1,KG,España,,,"3,45",,"20,29",,,"1,03",,,,," 'distance': 1,446162462234497",170402,Nestlé postres chocolate con leche 170g',NESTLÉ,,UNIDAD,"0,17",KG,170,1,170,,,,"3,40","3,09",,"20,00","18,20",,9%,COMPRA MAS PAGA MENOS,"2,09","2,09",10%,10%,1%,8%,14%
"Fideos chinos con huevo SOUBRY, paquete 250 g",788398,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,10-COMIDA ASIATICA,5-CHINA,"Fideos chinos con huevo SOUBRY, paquete 250 g",SOUBRY,788398,PAQUETE,"0,25",250,1,KG,Bélgica,,,"1,95",,"7,80",,,"1,59",,"1,56","6,24",20%," 'distance': 1,5847539901733398",411736,'Soubry fideo chino al huevo bolsa 250g',SOUBRY,,PAQUETE,"0,25",KG,250,1,250,,,,"1,64","1,38",,"6,56","5,51",,16%,COMPRA MAS PAGA MENOS,"0,73","2,29",29%,12%,16%,16%,18%
Jamoncitos de pavo EROSKI bandeja aprox. 800 g,5848924,1-FRESCOS,2-CARNICERIA,72-PAVO Y OTRAS AVES ENVASADO,5-PAVO ENVASADO AVES,5-PAVO¿FRESCO,Jamoncitos de pavo EROSKI bandeja aprox. 800 g,EROSKI,5848924,BANDEJA,"0,8",800,1,KG,,,,"3,92",,"4,90",,,"1,36",,"3,53","4,41",10%," 'distance': 0,472792267799377",218841,Jamoncito pavo vacío,MAKRO CHEF,,KILO,"1,4",KG,1400,1,1400,,,,"6,09",,,"4,35",,,,,"0,06","0,55",11%,1%,11%,18%,18%
"Mayonesa HELLMANN'S, frasco 450 ml",332643,2-ALIMENTACION,9-COCINA,3-SALSAS,"3-MAYONESAS, S.FINAS Y S.LIGERAS",3-MAYO.S.FINAS FCO MAS 300 ML,"Mayonesa HELLMANN'S, frasco 450 ml",HELLMANN'S,332643,FRASCO,"0,45",450,1,L,,,,"2,95","1,96","6,56","4,37",,"4,23",3x2,"1,67","3,71",15%," 'distance': 0,10736049711704254",52204,HELLMANN'S mayonesa bidón 2l,HELLMANN'S,,BIDON,2,L,2000,1,2000,,,,"11,76",,,"5,38",,,,,"-1,67","-1,01",-23%,-45%,18%,18%,18%
"Agua con gas VICHY CATALAN, botella 1,2 litros",18520999,2-ALIMENTACION,11-BEBIDAS,4-AGUAS,1-AGUAS CON GAS,3-AGUA¿CON¿GAS¿MESA,"Agua con gas VICHY CATALAN, botella 1,2 litros",VICHY,18520999,BOTELLA,"1,2",1200,1,L,España,,,"1,79",,"1,49",,,"4,19",,"1,34","1,12",25%," 'distance': 1,3711419105529785",378079,'VICHY CATALAN agua con gas botella 1 L contiene 12 unidades',VICHY CATALAN,,BOTELLA,"1,00",L,1000,12,12000,,,,"14,29","14,00",,"1,19","1,17",,2%,,"-0,05","0,32",22%,-4%,20%,18%,18%
"Tonica SCHWEPPES, lata 33 cl",16035719,2-ALIMENTACION,11-BEBIDAS,10-BEBIDAS REFRESCANTES,9-C/G TONICA,10-C/G TONICA REG PEQUE,"Tonica SCHWEPPES, lata 33 cl",SCHWEPPES,16035719,LATA,"0,33",330,1,L,,,,"0,99","0,74","3,00","2,25",,10,2nd unit-50%,"0,59","1,80",20%," 'distance': 0,621250152587891",129398,Schweppes tónica sleek lata 33cl contiene 24 unidades,SCHWEPPES,,LATA,"0,33",L,330,24,7920,,,,"18,14",,,"2,29",,,,,"-0,49","-0,04",-2%,-27%,24%,28%,21%
CJ RUCULA EROSKI 100G ,11013653,1-FRESCOS,1-FRUTA Y HORTALIZA,8-IV GAMA,51-ENSALADAS VALOR,20-COMPLEMENTOS DE ENSALADA,CJ RUCULA EROSKI 100G ,EROSKI,11013653,BOLSA,"0,1",100,1,KG,,,,"1,65",,"16,50",,,"12,06",,"1,49","14,85",10%," 'distance': 1,01317524909973",27295,"makro Chef Rúcula selvatica bolsa 250g ,",MAKRO CHEF,,BOLSA/BOLSON,"0,25",KG,250,1,250,,,,"3,42",,,"13,68",,,,,"1,17","2,82",17%,8%,17%,17%,18%
Macedonia de verduras EROSKI frasco 400 g,18942748,2-ALIMENTACION,8-SALADO,13-CONSERVAS VEGETALES,23-MACEDONIAS,1-MACEDONIA,Macedonia de verduras EROSKI frasco 400 g,EROSKI,18942748,FRASCO,"0,4",400,1,KG,,,,"1,13",,"2,83",,,"4,23",,,,," 'distance': 3,75923228263855",87393,'makro Chef macedonia verduras frasco 400gne (660 g)',MAKRO CHEF,,FRASCO,"0,66",KG,660,1,660,,,,"1,53",,,"2,32",,,,,"0,51","0,51",18%,18%,18%,18%,18%
"Ginebra LARIOS 12, botella 70 cl",12310058,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,3-GINEBRA ESTANDAR,"Ginebra LARIOS 12, botella 70 cl",LARIOS,12310058,BOTELLA,"0,7",700,1,L,España,,,"14,75",,"21,07",,,"0,07",,"12,54","17,91",15%," 'distance': 0,21788761019706726",9783,'LARIOS 12 ginebra botella 70 cl',LARIOS,,BOTELLA,"0,70",L,700,1,700,,,,"13,9",,,"19,86",,,,,"-1,95","1,21",6%,-11%,6%,10%,15%
"Vino Tinto Crianza Rioja VIÑA POMAL, botella 75 cl",12751038,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"9-VINOS D,O, TINTOS","53-VINO TINTO D,O, RIOJA CRIANZA","Vino Tinto Crianza Rioja VIÑA POMAL, botella 75 cl",VIÑA POMAL,12751038,BOTELLA,"0,75",750,1,L,,,,"9,45",,"12,60",,,"0,38",,"8,03","10,71",15%," 'distance': 0,8118165731430054",90348,Viña Pomal vino tinto crianza botella 75cl',VIÑA POMAL,,BOTELLA,"0,75",L,750,1,750,,,,"7,49",,,"9,99",,,,,"0,72","2,61",21%,7%,21%,21%,18%
"Lubina de crianza EROSKI NATUR GGN, pieza aprox, 500 g",9717398,1-FRESCOS,7-PESCADERIA,14-MOSTRADOR PESCADERIA,34-PESCADO CRIANZA,5-LUBINA CRIANZA,"Lubina de crianza EROSKI NATUR GGN, pieza aprox, 500 g","E, NATUR",9717398,PIEZA,"0,5",500,1,KG,,,,"5,35","5,03","10,70","10,06",,,6%,"4,53","9,05",10%," 'distance': 0,801036715507507",844493,"LUBINA 0,3-0,4KG DE CRIA SIN MANIPULAR",MAKRO,,pieza,"0,35",KG,350,1,350,,,,"3,02",,,"8,64",,,,,"0,41","1,42",14%,5%,19%,23%,20%
"Anís CASTELLANA, botella 70 cl",17714395,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,1-ANIS,1-ANIS SECO Y DULCE,"Anís CASTELLANA, botella 70 cl",CASTELLANA,17714395,BOTELLA,"0,7",700,1,L,España,,,"9,90","7,92","14,14","11,31",,"0,34",20%,"6,73","9,62",15%," 'distance': 1,290478229522705",148115,La Castellana anís dulce botella 70cl',LA CASTELLANA,,BOTELLA,"0,70",L,700,1,700,,,,"8,05",,,"11,50",,,,,"-1,88","-0,19",-2%,-20%,19%,19%,18%
"Ginebra francesa G'VINE, botella 70 cl",14402788,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,10-GINEBRA PREMIUM,"Ginebra francesa G'VINE, botella 70 cl",G'VINE,14402788,BOTELLA,"0,7",700,1,L,Francia,,,"39,1",,"55,86",,,0,,"33,24","47,48",15%," 'distance': 0,8514851331710815",77041,"""G'Vine ginebra botella 70cl""",G'VINE,,BOTELLA,"0,70",L,700,1,700,,,,"33,82",,,"48,31",,,,,"-0,84","7,54",14%,-2%,14%,11%,16%
"Ron CACIQUE, botella 1 litro",9268301,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,5-RON,5-RON¿OSCURO¿ESTANDAR,"Ron CACIQUE, botella 1 litro",CACIQUE,9268301,BOTELLA,1,1000,1,L,Venezuela,,,"19,89","18,50","19,89","18,50",,"0,26",7%,"15,72","15,72",15%," 'distance': 2,993433952331543",10346,"CACIQUE ron añejo botella 1L Alc, 37",CACIQUE,,BOTELLA,"1,00",L,1000,1,1000,,,,"16,64",,,"16,64",,,,,"-0,92","1,86",10%,-6%,16%,15%,17%
"Preparado de soja-vainilla ALPRO, pack 4x125 g",20348637,2-ALIMENTACION,5-LACTEOS,4-YOGURES Y POSTRES,1-YOGURES BASICOS,86-BASE NO LACTEA,"Preparado de soja-vainilla ALPRO, pack 4x125 g",ALPRO,20348637,PACK,"0,5",500,1,KG,,,,"2,65",,"5,30",,,"1,07",,,,," 'distance': 2,509918212890625",217297,'alpro postre vainilla 125g contiene 4 unidades (500 g)',ALPRO,,PACK,"0,50",L,500,1,500,,,,"2,19",,,"4,38",,,,,"0,92","0,92",17%,17%,17%,18%,19%
Mayonesa EROSKI bote 430 ml,15993017,2-ALIMENTACION,9-COCINA,3-SALSAS,"3-MAYONESAS, S.FINAS Y S.LIGERAS",7-MAYO.S.FINAS PET MAS 300 ML,Mayonesa EROSKI bote 430 ml,EROSKI,15993017,BOTE,"0,43",430,1,L,,,,"1,23",,"2,86",,,"9,75",,"1,05","2,43",15%," 'distance': 0,597211003303528",139233,aro mayonesa 3600ml,ARO,,CUBO,"3,6",L,3600,1,3600,,,,"7,87",,,"2,19",,,,,"0,25","0,67",24%,10%,24%,24%,20%
Queso rallado Mozzarella para pizza EROSKI bolsa 200 g,24928525,2-ALIMENTACION,5-LACTEOS,10-QUESOS,8-QUESO RALLADO,2-QUESO RALLADO MOZZARELLA,Queso rallado Mozzarella para pizza EROSKI bolsa 200 g,EROSKI,24928525,BOLSA,"0,2",200,1,KG,,,,"1,62",,"8,10",,,"47,42",,"1,22","6,08",25%," 'distance': 3,703989267349243",179661,'aro mozzarella rallada para pizza 2 Kg',ARO,,BOLSA/BOLSON,"2,00",KG,2000,1,2000,,,,"13,19","11,21",,"6,60","5,61",,15%,COMPRA MAS PAGA MENOS,"0,47","2,49",31%,8%,19%,19%,18%
"Refresco de cola light COCA COLA, lata 33 cl",303362,2-ALIMENTACION,11-BEBIDAS,10-BEBIDAS REFRESCANTES,1-C/G COLA,28-C/G COLA ZERO C/CAF PEQUE,"Refresco de cola light COCA COLA, lata 33 cl",COCA COLA,303362,LATA,"0,33",330,1,L,,,,"0,92",,"2,79",,,"4,52",,"0,74","2,23",20%," 'distance': 2,214296817779541",52286,'Coca-Cola light 33cl contiene 24 unidades',COCA-COLA,,LATA,"0,33",L,330,24,7920,,,,"17,97",,,"2,27",,,,,"-0,04","0,52",19%,-2%,19%,20%,19%
"Refresco de cola COCA COLA Zero, lata 33 cl",8797631,2-ALIMENTACION,11-BEBIDAS,10-BEBIDAS REFRESCANTES,1-C/G COLA,28-C/G COLA ZERO C/CAF PEQUE,"Refresco de cola COCA COLA Zero, lata 33 cl",COCA COLA,8797631,LATA,"0,33",330,1,L,,,,"0,92",,"2,79",,,"57,42",,"0,74","2,23",20%," 'distance': 2,0751993656158447",171101,'Coca-Cola zero lata 33cl contiene 24 unidades',COCA-COLA,,LATA,"0,33",L,330,24,7920,,,,"17,73",,,"2,24",,,,,"-0,01","0,55",20%,0%,20%,19%,19%
Tortellini con carne EROSKI bandeja 250 g,19841097,1-FRESCOS,14-SOLUCIONES CULINARIAS,35-DISFRUTA COCINANDO,20-PASTA FRESCA,1-PASTA FRESCA RELLENA,Tortellini con carne EROSKI bandeja 250 g,EROSKI,19841097,BANDEJA,"0,25",250,1,KG,Italia,,,"1,9",,"7,60",,,"2,56",,,,," 'distance': 4,239782810211182",214093,'aro tortelloni carne bandeja 1kg',ARO,,BANDEJA,"1,00",KG,1000,1,1000,,,,"5,82","4,95",,"5,82","4,95",,15%,COMPRA MAS PAGA MENOS,"2,65","2,65",35%,35%,23%,19%,18%
"Ponche CABALLERO, botella 70 cl",14298533,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,15-PATXARAN Y PONCHE,3-PONCHE,"Ponche CABALLERO, botella 70 cl",CABALLERO,14298533,BOTELLA,"0,7",700,1,L,,,,"12,75",,"18,21",,,"0,11",,"10,84","15,48",15%," 'distance': 0,36810624599456787",105199,'Caballero ponche botella 70cl',CABALLERO,,BOTELLA,"0,70",L,700,1,700,,,,"10,64",,,"15,20",,,,,"0,28","3,01",17%,2%,17%,19%,18%
"Refresco de naranja FANTA Zero, lata 33 cl",10841377,2-ALIMENTACION,11-BEBIDAS,10-BEBIDAS REFRESCANTES,3-C/G NARANJA,20-C/G NARANJA ZERO,"Refresco de naranja FANTA Zero, lata 33 cl",FANTA,10841377,LATA,"0,33",330,1,L,,,,"0,80",,"2,42",,,"15,88",,"0,64","1,94",20%," 'distance': 1,441725254058838",71309,'Fanta zero naranja lata 33cl contiene 24 unidades',FANTA,,LATA,"0,33",L,330,24,7920,,,,"13,66",,,"1,72",,,,,"0,21","0,70",29%,11%,29%,27%,21%
"Refresco sin azúcar sabor sandía FANTA, lata 33 cl",23499114,2-ALIMENTACION,11-BEBIDAS,10-BEBIDAS REFRESCANTES,7-C/G RESTO,10-C/G RESTO,"Refresco sin azúcar sabor sandía FANTA, lata 33 cl",FANTA,23499114,LATA,"0,33",330,1,L,,,,"0,80",,"2,42",,,"3,03",,"0,64","1,94",20%," 'distance': 3,154599666595459",217006,'Fanta zero bebida gaseosa zero sabor frambuesa lata 33cl contiene 24 unidades',FANTA,,LATA,"0,33",L,330,24,7920,,,,"13,92","13,22",,"1,76","1,67",,5%,COMPRA MAS PAGA MENOS,"0,27","0,75",31%,14%,28%,27%,20%
"Cerveza tostada 0,0 MAHOU, pack botellÍn 6x25 cl",26162347,2-ALIMENTACION,11-BEBIDAS,8-CERVEZAS,"5-CERVEZAS 0,0","1-CERVEZA 0,0 BOTELLA","Cerveza tostada 0,0 MAHOU, pack botellÍn 6x25 cl",MAHOU,26162347,PACK,"1,5",1500,1,L,,,,"4,49",,"2,99",,,"0,91",,"3,37","2,25",25%," 'distance': 3,211979389190674",185249,"Mahou cerveza 0,0 tostada botella de 33 cl contiene 24 unidades",MAHOU,,BOTELLA,"0,33",L,330,24,7920,,,,"20,92",,,"2,64",,,,,"-0,40","0,35",12%,-18%,12%,13%,17%
Champiñon entero extra EROSKI lata 185 g,2723252,2-ALIMENTACION,8-SALADO,13-CONSERVAS VEGETALES,21-CHAMPIÑONES,5-CHAMPIÑON ENTERO,Champiñon entero extra EROSKI lata 185 g,EROSKI,2723252,LATA,"0,185",185,1,KG,,,,"1,49",,"8,05",,,"1,38",,,,," 'distance': 0,323017150163651",121305,METRO Chef champiñon blanco entero lata 420gne,METRO CHEF,,LATA,"0,42",KG,420,1,420,,,,"2,85","2,54",,"6,79","6,04",,11%,COMPRA MAS PAGA MENOS,"2,01","2,01",25%,25%,16%,16%,18%
"Cerveza sin alcohol MAHOU, lata 33 cl",1793942,2-ALIMENTACION,11-BEBIDAS,8-CERVEZAS,"5-CERVEZAS 0,0","3-CERVEZA 0,0 LATA","Cerveza sin alcohol MAHOU, lata 33 cl",MAHOU,1793942,LATA,"0,33",330,1,L,España,,,"0,76",,"2,30",,,"6,92",,"0,57","1,73",25%," 'distance': 1,3444316387176514",821,'Mahou cerveza sin alcohol 330 ml contiene 24 latas',MAHOU,,LATA,"0,33",L,330,24,7920,,,,"15,35","13,82",,"1,94","1,74",,10%,COMPRA MAS PAGA MENOS,"-0,02","0,56",24%,-1%,16%,16%,17%
"Bombones NESTLÉ CAJA ROJA, caja 800 g",26381525,2-ALIMENTACION,10-DULCE,18-BOMBONES,3-BOMBONES REGALO,3-BOMBON REGALO CAJAS Y BANDEJAS,"Bombones NESTLÉ CAJA ROJA, caja 800 g",CAJA ROJA,26381525,CAJA,"0,8",800,1,KG,España,,,"22,95",,"28,69",,,"0,15",,,,," 'distance': 0,7014780640602112",350272,'Nestle Caja Roja bombones caja 800 g',CAJA ROJA,,CAJA/CAJON,"0,80",KG,800,1,800,,,,"20,78",,,"25,98",,,,,"2,71","2,71",9%,9%,9%,9%,15%
"Whisky WILLIAM LAWSONS, botella 70 cl",315622,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,13-WHISKY,3-WHISKY¿STANDARD,"Whisky WILLIAM LAWSONS, botella 70 cl",WILLIAM LAWSONS,315622,BOTELLA,"0,7",700,1,L,Reino Unido,,,"10,99","10,00","15,70","14,29",,"0,07",9%,"8,50","12,14",15%," 'distance': 4,315539360046387",534378,"""WILLIAM LAWSON'S whisky escocés botella 70cl Alc, 40% vol,""",WILLIAM LAWSON'S,,BOTELLA,"0,70",L,700,1,700,,,,"9,67",,,"13,81",,,,,"-1,67","0,47",3%,-14%,12%,19%,20%
"Vodka ERISTOFF, botella 1 litro",1078948,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,7-VODKA,10-VODKA ESTANDAR,"Vodka ERISTOFF, botella 1 litro",ERISTOFF,1078948,BOTELLA,1,1000,1,L,Portugal,,,"14,59",,"14,59",,,"0,03",,"12,40","12,40",15%," 'distance': 3,2196645736694336",64532,"ERISTOFF vodka botella 1L Alc, 37",ERISTOFF,,BOTELLA,"1,00",L,1000,1,1000,,,,"12,52",,,"12,52",,,,,"-0,12","2,07",14%,-1%,14%,19%,19%
"Vino Tinto Joven Roble D,O, R, del Duero PROTOS, botella 75 cl",10138360,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"9-VINOS D,O, TINTOS","47-V,TINTO D,O,RIBERA DUERO JOVEN","Vino Tinto Joven Roble D,O, R, del Duero PROTOS, botella 75 cl",PROTOS,10138360,BOTELLA,"0,75",750,1,L,,,,"9,50",,"12,67",,,"0,19",,"8,08","10,77",15%," 'distance': 1,758707046508789",525005,'Protos vino tinto roble botella 75cl',PROTOS,,BOTELLA,"0,75",L,750,1,750,,,,"7,68",,,"10,24",,,,,"0,53","2,43",19%,5%,19%,19%,19%
"Vino Blanco Rías Baixas MAR DE FRADES, botella 75 cl",12788618,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"5-VINOS D,O,BLANCOS","62-VINO BLANCO D,O, RIAS BAIXAS","Vino Blanco Rías Baixas MAR DE FRADES, botella 75 cl",MAR DE FRADES,12788618,BOTELLA,"0,75",750,1,L,España,,,"18,99","17,66","25,32","23,55",,"0,53",7%,"15,01","20,02",15%," 'distance': 0,7684823870658875",41254,Mar De Frades vino blanco Rias Denominación de Origen rias baixas botella 75cl',MAR DE FRADES,,BOTELLA,"0,75",L,750,1,750,,,,"16,88","15,70",,"22,51","20,93",,7%,COMPRA MAS PAGA MENOS,"-0,92","2,62",11%,-5%,11%,11%,16%
"Cereales de chocolate con leche KELLOGG`S EXTRA, bolsa 375 g",24856619,2-ALIMENTACION,10-DULCE,22-CEREALES DE DESAYUNO,7-CEREALES,5-CEREAL ADULTO MUESLI-MULTICER,"Cereales de chocolate con leche KELLOGG`S EXTRA, bolsa 375 g",EXTRA,24856619,BOLSA,"0,375",375,1,KG,,,,"5,02",,"13,39",,,"0,26",,,,," 'distance': 3,1154699325561523",925106,"""Kellogg's muesli extra chocolate 1",KELLOGG'S,,BOLSA/BOLSON,"1,50",KG,1500,1,1500,,,,"17,04","15,51",,"11,36","10,34",,9%,COMPRA MAS PAGA MENOS,"3,05","3,05",23%,23%,15%,15%,17%
"Fiambre para sandwich ELPOZO, bandeja 250 g",11703618,1-FRESCOS,4-CHARCUTERIA,20-COCIDOS PORCION,5-COCIDOS CERDO,15-YORK Y PALETA,"Fiambre para sandwich ELPOZO, bandeja 250 g",ELPOZO,11703618,BANDEJA,"0,25",250,1,KG,,,,"2,29",,"9,16",,,2,,"2,18","8,70",5%," 'distance': 0,867495059967041",10376,'Elpozo fiambre sandwich loncheado 250 g',ELPOZO,,BANDEJA,"0,25",KG,250,1,250,,,,"1,82","1,66",,"7,28","6,62",,9%,COMPRA MAS PAGA MENOS,"2,08","2,54",28%,24%,21%,9%,16%
"Vermouth Rojo CINZANO, botella 1 litro",137950,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,25-VERMOUTH,1-VERMOUTH ROJO,"Vermouth Rojo CINZANO, botella 1 litro",CINZANO,137950,BOTELLA,1,1000,1,L,,,,"7,99",,"7,99",,,"1,03",,"6,79","6,79",15%," 'distance': 0,421773076057434",60216,CINZANO vermut rojo botella 1L,CINZANO,,BOTELLA,1,L,1000,1,1000,,,,"6,64",,,"6,64",,,,,"0,15","1,35",17%,2%,17%,17%,19%
"Patata Roja, al peso, compra mínima 1 kg",26220798,1-FRESCOS,1-FRUTA Y HORTALIZA,20-COMPLEMENTOS BASICOS,15-PATATAS,20-PATATAS ESPECIALIDADES,"Patata Roja, al peso, compra mínima 1 kg",EROSKI,26220798,GRANEL,1,1000,1,KG,,,,"1,65",,"1,65",,,"2,89",,"1,32","1,32",20%," 'distance': 2,429976463317871",55693,METRO Chef Patata lavada roja Calibre 55/80 bolsa 5kg,METRO CHEF,,MALLA,5,KG,5000,1,5000,,,,"6,65",,,"1,33",,,,,"-0,01","0,32",19%,-1%,19%,19%,19%
Cardo troceado EROSKI frasco 400 g,17625138,2-ALIMENTACION,8-SALADO,13-CONSERVAS VEGETALES,25-VERDURAS Y VEGETALES VARIOS,13-CARDO,Cardo troceado EROSKI frasco 400 g,EROSKI,17625138,FRASCO,"0,4",400,1,KG,,,,"1,70",,"4,25",,,"3,61",,,,," 'distance': 0,266581922769547",87294,makro Chef cardo frasco 360gne (660 g),MAKRO CHEF,,FRASCO,"0,66",KG,660,1,660,,,,"2,26",,,"3,42",,,,,"0,83","0,83",19%,19%,19%,19%,19%
"Queso Feta porción DOP DODONI, bloque 150 g",25559303,2-ALIMENTACION,5-LACTEOS,10-QUESOS,1-QUESO FRESCOS,"4-Q, FRESCO FETA Y ENSALADAS","Queso Feta porción DOP DODONI, bloque 150 g",DODONI,25559303,BLOQUE,"0,15",150,1,KG,,,,"3,79",,"25,27",,,"3,11",,"2,84","18,95",25%," 'distance': 2,037285566329956",212505,'Dodoni queso feta 150 g',DODONI,,UNIDAD,"0,15",KG,150,1,150,,,,"2,86",,,"19,07",,,,,"-0,12","6,20",25%,-1%,25%,25%,21%
"Crema de orujo EL AFILADOR, botella 70 cl",8927980,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,28-CREMAS,5-CREMAS BASE ORUJO,"Crema de orujo EL AFILADOR, botella 70 cl",EL AFILADOR,8927980,BOTELLA,"0,7",700,1,L,España,,,"11,20",,"16,00",,,"0,23",,"9,52","13,60",15%," 'distance': 1,408435344696045",8859,'El Afilador licor crema botella 70cl',EL AFILADOR,,BOTELLA,"0,70",L,700,1,700,,,,"9,50",,,"13,57",,,,,"0,03","2,43",15%,0%,15%,15%,17%
Tallarines EROSKI paquete 500 g,367409,2-ALIMENTACION,9-COCINA,13-PASTAS,3-PASTA CLÁSICA,4-PASTA LARGA RESTO,Tallarines EROSKI paquete 500 g,EROSKI,367409,PAQUETE,"0,5",500,1,KG,,,,"0,80",,"1,60",,,"5,91",,"0,68","1,36",15%," 'distance': 4,7990241050720215",212779,'aro tallarines paquete 5kg',ARO,,PAQUETE,"5,00",KG,5000,1,5000,,,,"5,93",,,"1,19",,,,,"0,17","0,41",26%,13%,26%,23%,20%
Almendra cruda con piel EROSKI tarrina 185 g,23486657,1-FRESCOS,1-FRUTA Y HORTALIZA,25-GRANELES,10-FRUTOS SECOS GRANEL,20-ALMENDRAS,Almendra cruda con piel EROSKI tarrina 185 g,EROSKI,23486657,BOLSA,"0,185",185,1,KG,,,,"2,99",,"16,16",,,"0,88",,,,," 'distance': 2,3630006313323975",151731,METRO Chef Almendra cruda con piel bolsa 1kg,METRO CHEF,,BOLSA/BOLSON,"1,00",KG,1000,1,1000,,,,"12,99",,,"12,99",,,,,"3,17","3,17",20%,20%,20%,25%,20%
"Puerro, bandeja 500 g",53520,1-FRESCOS,1-FRUTA Y HORTALIZA,2-HORTALIZA,72-PUERROS,5-PUERROS,"Puerro, bandeja 500 g",EROSKI,53520,BANDEJA,"0,5",500,1,KG,,,,"2,99",,"5,98",,,"17,46",,"2,54","5,08",15%," 'distance': 2,878290891647339",178594,METRO Chef Puerro limpio bandeja,MAKRO CHEF,,BANDEJA,"1,00",KG,1000,1,1000,,,,"4,57",,,"4,57",,,,,"0,51","1,41",24%,10%,24%,18%,19%
"Totopos sal MEXIFOODS, bolsa 300 g",18420778,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,5-COMIDA AMERICA,5-MEXICANA APERITIVOS,"Totopos sal MEXIFOODS, bolsa 300 g",MEXIFOODS,18420778,BOLSA,"0,3",300,1,KG,,,,"2,79",,"9,30",,,"1,34",,"2,23","7,44",20%," 'distance': 2,949917793273926",125307,'Mexifoods nachos totopo 300g',MEXIFOODS,,BOLSA/BOLSON,"0,30",L,300,1,300,,,,"2,48",,,"8,27",,,,,"-0,83","1,03",11%,-11%,11%,11%,16%
